,Wedding/Type,Place,Cost/of/Type,Clothes/Bride,Clothes/Groom,Photography,Decor,Decor/Category,Entertainment,Entertainment/Category,Gifts(per/piece),Gifts/Category,Invitations/Cards,Cards/Category
1314,Resort Weddings,////Bangaram Island////,2103027,195705,42507,279084,137928,Venue Decor/519830,347468,Celebrity Singers/Dancer,651,Edible,881,Scroll Invitations
1315,////Destination Weddings////,Mumbai,4523356,672842,351629,125269,89656,Venue Decor/519830,102762,Professional Singer/Dance,2390,High-Quality,784,Boxed
1316,Palace Weddings,////Agatti Island////xc2,5225733,456245,184005,142544,597859,Luxury Package,354662,Celebrity Singers/Dancer,2318,High-Quality,543,Boxed
1317,////Temple Weddings////,Shimla,49613,29290,6640,46807,136871,Venue Decor/519830,152504,Professional Singer/Dance,4250,Premium Perfumes,540,Boxed
1318,////Destination Weddings////,Goa,3082652,520886,297931,103485,50285,Mandap,456228,Celebrity Singers/Dancer,1110,Traditional Handicrafts,886,Scroll Invitations
1319,Hotel Weddings,Neil Island,827770,56747,65913,20846,505796,Luxury Package,487548,Celebrity Singers/Dancer,2445,High-Quality,583,Boxed
1320,////Temple Weddings////,Goa,42125,21892,6472,96349,290328,Floral Decor,155119,Professional Singer/Dance,3894,High-Quality,476,Customized Invitations
1321,////Farmhouse Weddings////,Goa,2728552,89954,35371,247429,134987,Venue Decor/519830,426864,Celebrity Singers/Dancer,4928,Premium Perfumes,917,Scroll Invitations
1322,Palace Weddings,Lonavala,7540171,202573,261508,132508,336585,Floral Decor,297368,Celebrity Singers/Dancer,2973,High-Quality,582,Boxed
1323,////Destination Weddings////,Varanasi,5460415,515617,335218,29354,301470,Floral Decor,336123,Celebrity Singers/Dancer,1519,Traditional Handicrafts,177,Customized Invitations
1324,////Farmhouse Weddings////,////Rishikesh////xc2,1733966,80210,55888,292579,417665,Luxury Package,310916,Celebrity Singers/Dancer,4328,Premium Perfumes,439,Customized Invitations
1325,Beach Weddings,Lonavala,2277943,124658,55397,35297,335941,Floral Decor,84179,Live Band,1968,Traditional Handicrafts,546,Boxed
1326,Hotel Weddings,Goa,512937,93427,364509,192354,538462,Luxury Package,327958,Celebrity Singers/Dancer,835,Edible,869,Scroll Invitations
1327,Heritage Weddings,////Mussoorie////,7340110,800882,836437,74861,591146,Luxury Package,458124,Celebrity Singers/Dancer,4759,Premium Perfumes,214,Customized Invitations
1328,Beach Weddings,Alibaug,1991661,182255,47558,145579,233428,Floral Decor,437940,Celebrity Singers/Dancer,1264,Traditional Handicrafts,586,Boxed
1329,////Destination Weddings////,////Agatti Island////xc2,5122417,655533,196826,27889,53032,Mandap,40301,Live Band,4199,Premium Perfumes,502,Boxed
1330,////Farmhouse Weddings////,////Agatti Island////xc2,1646530,58357,74532,67747,443188,Luxury Package,400818,Celebrity Singers/Dancer,3747,High-Quality,255,Customized Invitations
1331,Resort Weddings,////Rishikesh////xc2,2358764,112996,104204,181722,358895,Floral Decor,294080,Celebrity Singers/Dancer,691,Edible,66,Traditional Paper
1332,Palace Weddings,////Mussoorie////,6598860,870427,551794,68621,208345,Floral Decor,235525,Professional Singer/Dance,1917,Traditional Handicrafts,667,Boxed
1333,////Destination Weddings////,Neil Island,4336367,610203,328418,282073,269867,Floral Decor,373948,Celebrity Singers/Dancer,3733,High-Quality,253,Customized Invitations
1334,Beach Weddings,Jaisalmer,3981759,79630,66396,205764,587338,Luxury Package,137302,Professional Singer/Dance,2359,High-Quality,67,Traditional Paper
1335,////Destination Weddings////,Bangalore,5624136,532312,163401,55474,167504,Venue Decor/519830,381265,Celebrity Singers/Dancer,4035,Premium Perfumes,533,Boxed
1336,Hotel Weddings,Nainital,753971,53760,199388,195941,317763,Floral Decor,132318,Professional Singer/Dance,3777,High-Quality,344,Customized Invitations
1337,Resort Weddings,Jaipur,2399806,182059,41592,75119,94878,Venue Decor/519830,55234,Live Band,4430,Premium Perfumes,900,Scroll Invitations
1338,Cruise Weddings,Jaisalmer,7305563,158808,122886,223973,181648,Venue Decor/519830,403149,Celebrity Singers/Dancer,1273,Traditional Handicrafts,237,Customized Invitations
1339,Heritage Weddings,Tirupati,9039729,120536,327410,207901,158667,Venue Decor/519830,47029,Live Band,4889,Premium Perfumes,777,Boxed
1340,Heritage Weddings,Udaipur,9795099,962869,247598,211034,270170,Floral Decor,322280,Celebrity Singers/Dancer,4742,Premium Perfumes,397,Customized Invitations
1341,Resort Weddings,Alibaug,2153336,149710,89960,274202,225581,Floral Decor,398903,Celebrity Singers/Dancer,759,Edible,863,Scroll Invitations
1342,Beach Weddings,Jodhpur,4420756,119853,46869,261605,119629,Venue Decor/519830,421151,Celebrity Singers/Dancer,4651,Premium Perfumes,867,Scroll Invitations
1343,////Temple Weddings////,Jaipur,52552,21804,6690,195824,217614,Floral Decor,459206,Celebrity Singers/Dancer,3549,High-Quality,759,Boxed
1344,////Farmhouse Weddings////,Jodhpur,2257270,71082,93371,227750,487142,Luxury Package,253356,Celebrity Singers/Dancer,4995,Premium Perfumes,828,Scroll Invitations
1345,Heritage Weddings,New Delhi,11307089,719327,139064,22838,326559,Floral Decor,207054,Professional Singer/Dance,2108,High-Quality,170,Customized Invitations
1346,////Temple Weddings////,Nainital,97661,27290,7054,221726,437072,Luxury Package,347727,Celebrity Singers/Dancer,4233,Premium Perfumes,304,Customized Invitations
1347,////Temple Weddings////,Lonavala,19889,19386,8798,169120,441767,Luxury Package,52082,Live Band,3878,High-Quality,959,Scroll Invitations
1348,Heritage Weddings,Hyderabad,9660736,387271,700273,265509,442171,Luxury Package,50221,Live Band,1418,Traditional Handicrafts,404,Customized Invitations
1349,////Destination Weddings////,Jodhpur,4174315,602616,256671,114736,587224,Luxury Package,145129,Professional Singer/Dance,3877,High-Quality,255,Customized Invitations
1350,Heritage Weddings,Jaisalmer,9208184,626797,81439,50072,114448,Venue Decor/519830,439340,Celebrity Singers/Dancer,3763,High-Quality,844,Scroll Invitations
1351,////Destination Weddings////,Alibaug,4196307,599161,101409,217217,472178,Luxury Package,153486,Professional Singer/Dance,4872,Premium Perfumes,654,Boxed
1352,////Destination Weddings////,Lonavala,5665684,657940,181530,210542,589516,Luxury Package,433951,Celebrity Singers/Dancer,800,Edible,755,Boxed
1353,////Destination Weddings////,////Rishikesh////xc2,5859336,617585,228002,219105,570272,Luxury Package,283435,Celebrity Singers/Dancer,4107,Premium Perfumes,894,Scroll Invitations
1354,Hotel Weddings,////Rishikesh////xc2,251476,81708,366904,130800,119831,Venue Decor/519830,162530,Professional Singer/Dance,2153,High-Quality,552,Boxed
1355,////Destination Weddings////,Udaipur,5734598,694843,256267,251136,319532,Floral Decor,248344,Professional Singer/Dance,3900,High-Quality,890,Scroll Invitations
1356,Heritage Weddings,Jodhpur,8472643,749720,730517,224587,81082,Venue Decor/519830,180114,Professional Singer/Dance,2260,High-Quality,896,Scroll Invitations
1357,////Destination Weddings////,Hyderabad,3723173,597954,350478,20058,311702,Floral Decor,202941,Professional Singer/Dance,4710,Premium Perfumes,682,Boxed
1358,////Farmhouse Weddings////,Lonavala,2479862,53762,51859,299159,395000,Floral Decor,313940,Celebrity Singers/Dancer,2237,High-Quality,272,Customized Invitations
1359,Resort Weddings,Shimla,2615002,183354,144781,265623,308030,Floral Decor,217579,Professional Singer/Dance,2280,High-Quality,266,Customized Invitations
1360,////Farmhouse Weddings////,Neil Island,1964803,86692,55306,68375,535279,Luxury Package,163480,Professional Singer/Dance,3841,High-Quality,257,Customized Invitations
1361,Palace Weddings,Jaisalmer,8600290,482536,433337,218931,552360,Luxury Package,200707,Professional Singer/Dance,3427,High-Quality,300,Customized Invitations
1362,////Farmhouse Weddings////,////Agatti Island////xc2,3481249,81304,80072,264847,376453,Floral Decor,477947,Celebrity Singers/Dancer,3114,High-Quality,472,Customized Invitations
1363,Hotel Weddings,Goa,594888,57096,200532,204395,419206,Luxury Package,435404,Celebrity Singers/Dancer,886,Edible,706,Boxed
1364,Beach Weddings,Alibaug,2339015,78724,88459,296303,250896,Floral Decor,229495,Professional Singer/Dance,3315,High-Quality,461,Customized Invitations
1365,Cruise Weddings,Alibaug,7088509,132227,149086,122079,428294,Luxury Package,124246,Professional Singer/Dance,861,Edible,236,Customized Invitations
1366,Palace Weddings,////Mussoorie////,6016621,435794,268963,270601,271194,Floral Decor,154547,Professional Singer/Dance,4249,Premium Perfumes,318,Customized Invitations
1367,////Destination Weddings////,////Rishikesh////xc2,4628380,649116,237197,299245,407755,Luxury Package,267355,Celebrity Singers/Dancer,4350,Premium Perfumes,420,Customized Invitations
1368,////Temple Weddings////,Mumbai,26014,15529,11913,258926,214121,Floral Decor,175398,Professional Singer/Dance,1892,Traditional Handicrafts,613,Boxed
1369,Heritage Weddings,Shimla,10591526,130674,742169,121787,279048,Floral Decor,412045,Celebrity Singers/Dancer,3490,High-Quality,610,Boxed
1370,Hotel Weddings,Mumbai,896006,69341,218674,54215,323827,Floral Decor,211664,Professional Singer/Dance,3228,High-Quality,579,Boxed
1371,////Destination Weddings////,Varanasi,3605259,551987,378781,248448,455999,Luxury Package,221819,Professional Singer/Dance,1380,Traditional Handicrafts,320,Customized Invitations
1372,////Destination Weddings////,////Bangaram Island////,3033558,586406,221617,110145,144530,Venue Decor/519830,99812,Live Band,4459,Premium Perfumes,642,Boxed
1373,Resort Weddings,New Delhi,1886051,75587,55584,206628,190628,Venue Decor/519830,50722,Live Band,4435,Premium Perfumes,585,Boxed
1374,////Farmhouse Weddings////,New Delhi,3786116,63707,45359,140461,520963,Luxury Package,110108,Professional Singer/Dance,542,Edible,861,Scroll Invitations
1375,Cruise Weddings,////Agatti Island////xc2,3743786,169072,97545,21745,536997,Luxury Package,163547,Professional Singer/Dance,2110,High-Quality,289,Customized Invitations
1376,Palace Weddings,////Mussoorie////,7376226,332863,407542,170915,122021,Venue Decor/519830,144912,Professional Singer/Dance,3547,High-Quality,403,Customized Invitations
1377,Heritage Weddings,Lonavala,7963776,562445,592576,282585,324563,Floral Decor,157775,Professional Singer/Dance,680,Edible,914,Scroll Invitations
1378,Cruise Weddings,Alibaug,3893308,148857,88388,89316,577100,Luxury Package,101187,Professional Singer/Dance,1349,Traditional Handicrafts,162,Customized Invitations
1379,Resort Weddings,Tirupati,1661944,172730,34223,141680,379761,Floral Decor,63910,Live Band,3848,High-Quality,102,Customized Invitations
1380,Beach Weddings,Jaipur,4335501,109181,83939,212910,510072,Luxury Package,353872,Celebrity Singers/Dancer,809,Edible,860,Scroll Invitations
1381,Cruise Weddings,Neil Island,5098116,169566,138759,213060,198531,Venue Decor/519830,134014,Professional Singer/Dance,685,Edible,96,Traditional Paper
1382,Beach Weddings,Jodhpur,2577926,116445,90594,260785,324304,Floral Decor,385913,Celebrity Singers/Dancer,4851,Premium Perfumes,273,Customized Invitations
1383,Palace Weddings,////Agatti Island////xc2,7168781,467395,510444,68624,316211,Floral Decor,60881,Live Band,4161,Premium Perfumes,693,Boxed
1384,Beach Weddings,Lonavala,3668910,170933,28975,149735,327473,Floral Decor,376700,Celebrity Singers/Dancer,3178,High-Quality,88,Traditional Paper
1385,////Temple Weddings////,Jaisalmer,54115,29894,7119,47335,366465,Floral Decor,172645,Professional Singer/Dance,4095,Premium Perfumes,823,Scroll Invitations
1386,Palace Weddings,////Bangaram Island////,6267664,821348,244642,153411,125276,Venue Decor/519830,395609,Celebrity Singers/Dancer,1303,Traditional Handicrafts,960,Scroll Invitations
1387,Cruise Weddings,Alibaug,4972539,130838,109451,226840,565328,Luxury Package,445557,Celebrity Singers/Dancer,2849,High-Quality,413,Customized Invitations
1388,Resort Weddings,Varanasi,1502319,134330,44699,145232,200375,Floral Decor,383002,Celebrity Singers/Dancer,4304,Premium Perfumes,780,Boxed
1389,////Farmhouse Weddings////,Lonavala,3718080,64239,82132,279882,504602,Luxury Package,244682,Professional Singer/Dance,2848,High-Quality,417,Customized Invitations
1390,////Farmhouse Weddings////,Bangalore,2240514,94898,53713,239280,388136,Floral Decor,391108,Celebrity Singers/Dancer,3207,High-Quality,722,Boxed
1391,Cruise Weddings,Bangalore,3743449,246947,147580,152095,458024,Luxury Package,103806,Professional Singer/Dance,1651,Traditional Handicrafts,592,Boxed
1392,////Farmhouse Weddings////,Hyderabad,1643989,57435,68653,272937,489545,Luxury Package,459461,Celebrity Singers/Dancer,1166,Traditional Handicrafts,993,Scroll Invitations
1393,Hotel Weddings,Lonavala,583137,77752,388515,169593,133049,Venue Decor/519830,112308,Professional Singer/Dance,3327,High-Quality,671,Boxed
1394,Palace Weddings,New Delhi,5986817,486603,248274,56146,454535,Luxury Package,312686,Celebrity Singers/Dancer,1265,Traditional Handicrafts,66,Traditional Paper
1395,Hotel Weddings,Nainital,335212,56991,342852,298554,447211,Luxury Package,484164,Celebrity Singers/Dancer,3123,High-Quality,993,Scroll Invitations
1396,////Destination Weddings////,Shimla,5324550,596962,302921,123495,199820,Venue Decor/519830,483043,Celebrity Singers/Dancer,2918,High-Quality,249,Customized Invitations
1397,////Farmhouse Weddings////,Nainital,1607866,63974,92252,274525,450389,Luxury Package,43423,Live Band,2060,High-Quality,893,Scroll Invitations
1398,Resort Weddings,////Bangaram Island////,3073509,58548,114571,234965,202479,Floral Decor,83774,Live Band,508,Edible,203,Customized Invitations
1399,Palace Weddings,////Agatti Island////xc2,5597504,266667,120050,85986,122769,Venue Decor/519830,68472,Live Band,2524,High-Quality,846,Scroll Invitations
1400,////Temple Weddings////,Jodhpur,99708,15290,8939,45902,320640,Floral Decor,83558,Live Band,3384,High-Quality,186,Customized Invitations
1401,Heritage Weddings,Jodhpur,9768895,867793,304529,272801,508451,Luxury Package,131100,Professional Singer/Dance,1242,Traditional Handicrafts,237,Customized Invitations
1402,Palace Weddings,////Mussoorie////,5247506,681456,136793,58623,196099,Venue Decor/519830,266848,Celebrity Singers/Dancer,4333,Premium Perfumes,334,Customized Invitations
1403,Heritage Weddings,////Agatti Island////xc2,7854430,929335,449795,39498,146873,Venue Decor/519830,449290,Celebrity Singers/Dancer,4765,Premium Perfumes,633,Boxed
1404,Palace Weddings,New Delhi,6969163,364394,108336,198936,296286,Floral Decor,407938,Celebrity Singers/Dancer,4526,Premium Perfumes,724,Boxed
1405,Palace Weddings,Jodhpur,7813808,454025,381694,241251,185606,Venue Decor/519830,208986,Professional Singer/Dance,4933,Premium Perfumes,301,Customized Invitations
1406,Resort Weddings,Varanasi,2509108,151007,139088,65129,586610,Luxury Package,333095,Celebrity Singers/Dancer,3922,High-Quality,345,Customized Invitations
1407,Hotel Weddings,Jodhpur,400732,88383,135903,149336,167656,Venue Decor/519830,274383,Celebrity Singers/Dancer,4733,Premium Perfumes,527,Boxed
1408,////Destination Weddings////,Jaisalmer,5901509,669313,247258,89817,487164,Luxury Package,193521,Professional Singer/Dance,3146,High-Quality,727,Boxed
1409,Heritage Weddings,Varanasi,6431358,180095,164434,198796,84997,Venue Decor/519830,480367,Celebrity Singers/Dancer,1592,Traditional Handicrafts,823,Scroll Invitations
1410,Beach Weddings,Varanasi,4551072,198907,66622,258370,144157,Venue Decor/519830,112727,Professional Singer/Dance,2100,High-Quality,146,Customized Invitations
1411,Beach Weddings,Varanasi,4663059,164720,36818,198747,266032,Floral Decor,272453,Celebrity Singers/Dancer,1882,Traditional Handicrafts,498,Customized Invitations
1412,////Farmhouse Weddings////,////Rishikesh////xc2,3614022,92396,80807,92337,181497,Venue Decor/519830,477939,Celebrity Singers/Dancer,3033,High-Quality,368,Customized Invitations
1413,Palace Weddings,Jaisalmer,5440450,582889,298406,139334,569481,Luxury Package,70168,Live Band,1003,Traditional Handicrafts,801,Scroll Invitations
1414,Resort Weddings,Alibaug,2756388,142349,40455,111217,194350,Venue Decor/519830,22878,DJ/Sangeet,3863,High-Quality,440,Customized Invitations
1415,Resort Weddings,////Rishikesh////xc2,2881086,182310,132146,239080,226733,Floral Decor,380747,Celebrity Singers/Dancer,619,Edible,541,Boxed
1416,////Temple Weddings////,Tirupati,96960,29017,10511,202550,501562,Luxury Package,88605,Live Band,3145,High-Quality,422,Customized Invitations
1417,Hotel Weddings,Alibaug,595298,70532,342607,105379,567865,Luxury Package,183622,Professional Singer/Dance,4379,Premium Perfumes,440,Customized Invitations
1418,Beach Weddings,Jaisalmer,1664390,143246,93507,193357,266965,Floral Decor,285698,Celebrity Singers/Dancer,508,Edible,716,Boxed
1419,Heritage Weddings,Varanasi,9553836,458137,719644,162709,245014,Floral Decor,287196,Celebrity Singers/Dancer,2266,High-Quality,844,Scroll Invitations
1420,////Destination Weddings////,New Delhi,3654175,548835,311952,198267,495392,Luxury Package,461110,Celebrity Singers/Dancer,1555,Traditional Handicrafts,998,Scroll Invitations
